"","date","total_entries","Male","Female","ages0_14","ages15_64","ages65_up","nationals_registered","Mainland","HK_Macao","nationals_unregistered","Foreigners"
"73","<U+4E5D> <U+6708>  Sept.","899128","534086","365042","22875","819603","56650","653213","11837","28713","1811","203554"
"74","<U+5341> <U+6708>  Oct.","929300","549963","379337","21908","831187","76205","662710","13130","29678","1703","222079"
"75","<U+5341><U+4E00><U+6708>  Nov.","872786","531347","341439","23281","784635","64870","602233","13816","23027","1492","232218"
"76","<U+5341><U+4E8C><U+6708>  Dec.","886031","529978","356053","38906","798298","48827","609351","13332","30042","1997","231309"
"77","<U+4E5D><U+5341><U+56DB><U+5E74>2005","11557175","6758467","4798708","628861","10206711","721603","8179057","200142","355443","24323","2798210"
"78","<U+4E00> <U+6708>  Jan.","791824","475957","315867","45517","703670","42637","547572","11576","18000","2126","212550"
"79","<U+4E8C> <U+6708>  Feb.","930991","531379","399612","82391","808761","39839","673651","12735","34158","2890","207557"
"80","<U+4E09> <U+6708>  Mar.","892384","539624","352760","30352","804086","57946","594102","14633","34328","2685","246636"
"81","<U+56DB> <U+6708>  Apr.","968000","576893","391107","32068","855786","80146","698487","14353","24881","1804","228475"
"82","<U+4E94> <U+6708>  May","966166","571633","394533","30623","858847","76696","682117","14594","31110","1620","236725"
"83","<U+516D> <U+6708>  June","995750","582391","413359","41600","884785","69365","702706","15296","31625","1853","244270"
"84","<U+4E03> <U+6708>  July","1133434","629985","503449","127429","949872","56133","865165","17280","31714","2235","217040"
"85","<U+516B> <U+6708>  Aug.","1109110","614820","494290","122243","938652","48215","827417","17134","35990","2061","226508"
"86","<U+4E5D> <U+6708>  Sept.","955678","561054","394624","23534","868787","63357","684978","18245","27177","2021","223257"
"87","<U+5341> <U+6708>  Oct.","1020257","597074","423183","27580","914515","78162","722803","18405","25122","1638","252289"
"88","<U+5341><U+4E00><U+6708>  Nov.","895288","541577","353711","25027","805511","64750","593011","22580","25946","1565","252186"
"89","<U+5341><U+4E8C><U+6708>  Dec.","898293","536080","362213","40497","813439","44357","587048","23311","35392","1825","250717"
"90","<U+4E5D><U+5341><U+4E94><U+5E74>2006","12148694","7014024","5134670","668002","10675857","804835","8628867","286608","354335","23255","2855629"
"91","<U+4E00> <U+6708>  Jan.","893161","540645","352516","62395","789178","41588","628814","19279","25932","1959","217177"
"92","<U+4E8C> <U+6708>  Feb.","963695","533907","429788","76482","835717","51496","677539","21117","28687","2150","234202"
"93","<U+4E09> <U+6708>  Mar.","960759","571640","389119","27931","858663","74165","651378","22083","27822","2004","257472"
"94","<U+56DB> <U+6708>  Apr.","1020864","598225","422639","39109","895663","86092","730821","26072","34812","1813","227346"
"95","<U+4E94> <U+6708>  May","980602","567439","413163","30895","869482","80225","697527","24524","29469","1659","227423"
"96","<U+516D> <U+6708>  June","1009466","584915","424551","45205","895622","68639","704339","23076","33361","2064","246626"
"97","<U+4E03> <U+6708>  July","1172463","642302","530161","137722","975264","59477","901613","24141","31308","2273","213128"
"98","<U+516B> <U+6708>  Aug.","1128834","622185","506649","123821","954757","50256","836273","24481","37292","2067","228721"
"99","<U+4E5D> <U+6708>  Sept.","981986","573669","408317","22218","891801","67967","707868","24771","26565","1768","221014"
"100","<U+5341> <U+6708>  Oct.","1077436","615085","462351","32120","957267","88049","775861","24421","22483","1837","252834"
"101","<U+5341><U+4E00><U+6708>  Nov.","970278","579790","390488","25789","864536","79953","651615","27782","22484","1548","266849"
"102","<U+5341><U+4E8C><U+6708>  Dec.","989150","584222","404928","44315","887907","56928","665219","24861","34120","2113","262837"
"103","<U+4E5D><U+5341><U+516D><U+5E74>2007","12639948","7208147","5431801","702602","11098858","838488","8923885","292618","411889","22741","2988815"
"104","<U+4E00> <U+6708>  Jan.","831893","489626","342267","37118","742512","52263","557695","19839","18548","1866","233945"
"105","<U+4E8C> <U+6708>  Feb.","1107611","620309","487302","114571","942701","50339","845812","22089","31006","1882","206822"
"106","<U+4E09> <U+6708>  Mar.","990278","574349","415929","34182","880432","75664","644983","25436","30217","2215","287427"
"107","<U+56DB> <U+6708>  Apr.","1088656","622552","466104","42115","958358","88183","772537","26108","42254","1900","245857"
"108","<U+4E94> <U+6708>  May","1011321","579538","431783","29938","895685","85698","717300","24890","32564","1650","234917"
"109","<U+516D> <U+6708>  June","1091444","624205","467239","48993","967965","74486","770768","24205","42152","2090","252229"
"110","<U+4E03> <U+6708>  July","1170989","647149","523840","130088","981587","59314","885914","25219","35394","2275","222187"
"111","<U+516B> <U+6708>  Aug.","1162311","635718","526593","127765","982208","52338","853830","26070","41859","1936","238616"
"112","<U+4E5D> <U+6708>  Sept.","1085201","619084","466117","31562","986087","67552","789607","23321","32254","1697","238322"
"113","<U+5341> <U+6708>  Oct.","1039188","592147","447041","28401","923705","87082","724669","24292","29913","1496","258818"
"114","<U+5341><U+4E00><U+6708>  Nov.","1026756","603021","423735","28481","913590","84685","690386","26301","31633","1614","276822"
"115","<U+5341><U+4E8C><U+6708>  Dec.","1034300","600449","433851","49388","924028","60884","670384","24848","44095","2120","292853"
"116","<U+4E5D><U+5341><U+4E03><U+5E74>2008","12297825","7001958","5295867","667148","10812279","818398","8452638","314914","540039","27698","2962536"
"117","<U+4E00> <U+6708>  Jan.","975039","560292","414747","64370","853856","56813","677597","21251","24831","2194","249166"
"118","<U+4E8C> <U+6708>  Feb.","1008047","561683","446364","82615","873684","51748","692913","24612","44647","2209","243666"
"119","<U+4E09> <U+6708>  Mar.","1033204","596863","436341","36433","917800","78971","691142","17575","48571","2285","273631"
"120","<U+56DB> <U+6708>  Apr.","1044985","603638","441347","32445","925079","87461","742166","19541","37534","1988","243756"
"121","<U+4E94> <U+6708>  May","1050415","596966","453449","32612","935262","82541","735715","21125","49230","1714","242631"
"122","<U+516D> <U+6708>  June","1043110","597742","445368","49255","926913","66942","702656","21154","59552","2077","257671"
"123","<U+4E03> <U+6708>  July","1143503","629862","513641","127991","959781","55731","836216","29321","50057","2430","225479"
"124","<U+516B> <U+6708>  Aug.","1099580","603012","496568","118599","932486","48495","787993","27739","56920","1937","224991"
"125","<U+4E5D> <U+6708>  Sept.","985702","567913","417789","25011","892950","67741","678300","31952","41064","1612","232774"
"126","<U+5341> <U+6708>  Oct.","1036006","592253","443753","25936","920801","89269","708968","33674","36985","2951","253428"
"127","<U+5341><U+4E00><U+6708>  Nov.","948511","558416","390095","27154","842486","78871","621287","33811","36902","2722","253789"
"128","<U+5341><U+4E8C><U+6708>  Dec.","929723","533318","396405","44727","831181","53815","577685","33159","53746","3579","261554"
"129","<U+4E5D><U+5341><U+516B><U+5E74>2009","12513288","6975669","5537619","652612","10946191","914485","8118284","953009","634121","37792","2770082"
"130","<U+4E00> <U+6708>  Jan.","994996","564345","430651","79942","864395","50659","718100","42630","41073","2996","190197"
